status,issue,primary finding,title,validator 1 comment,validator 2 comment,merged root cause
Satisfactory,findings-12,findings-12,Malicious user can honeypot other users by withdrawing his vested amount right before he sells his NFT,Low QA and beyond the control of the protocol,Claim liquidity before sale. QA at best + overinflated,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L184-L261
Satisfactory,validation-519,findings-12,Malicious user can honeypot NFT buyer by claiming all vested amounts before sale,Low QA and beyond the control of the protocol,Claim liquidity before sale. QA at best + overinflated,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L184-L261
Satisfactory,findings-21,findings-42,Improper `_whitelistIndex` check in the `Whitelist.checkWhitelist()` function.,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,findings-42,findings-42,Vultisig whitelisting can be bypassed by anyone,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-11,findings-42,User who is not whitelisted can still buy VULT token from Uniswap pool,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-122,findings-42,Flaw in Whitelist.sol: Unauthorized Users Can Bypass Whitelist Check and Receive Funds,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-151,findings-42,Improper validation of whitelist member inside  `checkWhitelist()` which leads to non whitelist member to contribute,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-179,findings-42,Non-whitelisted users will still pass the whitelist check ,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-210,findings-42,"Anyone can buy tokens, without being within the whitelist",Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-238,findings-42,Whitelist check can be bypassed by any non-whitelisted address because it does not check if `to` is in whiltelist.,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-253,findings-42,Whitelist doesn't work as intended,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-263,findings-42,Non-whitelisted addresses can also buy liquidity and claim VULT token,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
