status,issue,title,validator 1 comment,validator 2 comment
Satisfactory,findings-51,QA Report,"FP: 7, 8; 10 Lows",
Satisfactory,validation-445,QA Report,"FP: 3, 4, 7, 8, 9, 12, 13, 14, 18, 19; Gas: 5; 8 Lows",
Satisfactory,validation-676,QA Report,"FP: 2, 7; 6 Lows",
Satisfactory,validation-218,QA Report,FP: 3; Gas/R: 4; Analyzer: 7; 4 Lows,
Satisfactory,validation-627,QA Report,FP: 2; 4 Lows,
Satisfactory,findings-36,QA Report,"OOS: 3; FP: 5; NC: 6, 7, 9; 6 Lows",GPT
Satisfactory,validation-135,QA Report,NC-04: Low; 5 Lows,
Satisfactory,validation-255,QA Report,"Analyzer: 5, 9, 15, 22; FP: 7, 8, 13, 14, 16, 21, 25; 18 mostly generic lows",Too much noise
Satisfactory,validation-382,QA Report,"Analyzer: 34, 28, 19, 14; Gas: 33, 31, 29, 24, 21; OOS: 32; NC: 30, 27, 26, 25, 15, 6; FP: 18, 13, 9, 2;  14 mostly generic Lows",GPT
Satisfactory,validation-84,QA Report,"FP: 2, 12; Analyzer: 9; 13 mostly generic Lows",Too much noise
Unsatisfactory,validation-628,QA Report,FP: 1; 1 Low,
Unsatisfactory,findings-25,QA Report,FP: 1; 1 Low,
Unsatisfactory,findings-54,QA Report,"Analyzer: 4; FP: 5, 6; NC: 1, 2; 1 Low",
Unsatisfactory,findings-57,QA Report,1 Low,
Unsatisfactory,validation-129,QA Report,1 Low,
Unsatisfactory,validation-131,QA Report,1 Low,
Unsatisfactory,validation-154,QA Report,More appropriate as an Analysis report,
Unsatisfactory,validation-160,QA Report,2 Low/NC,
Unsatisfactory,validation-161,QA Report,3 Lows,
Unsatisfactory,validation-212,QA Report,1 Low,
Unsatisfactory,validation-229,QA Report,"Analyzer: 0, 5, 7; FP: 1; Gas: 2; NC: 4; 2 Lows",
Unsatisfactory,validation-230,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-24,QA Report,"FP: 2, 3; 2 Lows",
Unsatisfactory,validation-246,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-25,QA Report,1 Low,
Unsatisfactory,validation-259,QA Report,2 Lows,
Unsatisfactory,validation-266,QA Report,4 Lows,
Unsatisfactory,validation-292,QA Report,3 Lows,
Unsatisfactory,validation-293,QA Report,3 NC's,
Unsatisfactory,validation-297,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-299,QA Report,1 Low,
Unsatisfactory,validation-306,QA Report,3 Lows,
Unsatisfactory,validation-318,QA Report,2 Low/NC,
Unsatisfactory,validation-345,QA Report,1 FP,
Unsatisfactory,validation-349,QA Report,1 FP,
Unsatisfactory,validation-351,QA Report,1 Low,
Unsatisfactory,validation-353,QA Report,1 Low,
Unsatisfactory,validation-368,QA Report,1 FP,
Unsatisfactory,validation-369,QA Report,1 Low,
Unsatisfactory,validation-370,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-372,QA Report,3 Lows/NC,
Unsatisfactory,validation-399,QA Report,1 Low,
Unsatisfactory,validation-403,QA Report,3 Lows,
Unsatisfactory,validation-417,QA Report,"FP:, 3, 4; 2 Lows",
Unsatisfactory,validation-435,QA Report,1 Low,
Unsatisfactory,validation-439,QA Report,1 Low,
Unsatisfactory,validation-461,QA Report,"Analyzer: 1; FP: 2, 5, 10; Gas: 4, 8, 9; NC: 6, 7; 1 Low",
Unsatisfactory,validation-472,QA Report,3 Lows,
Unsatisfactory,validation-476,QA Report,"NC: 1, 5, 7; FP: 2, 3, 4; 1 Low",
Unsatisfactory,validation-478,QA Report,1 Low,
Unsatisfactory,validation-482,QA Report,fP: 1; 1 Low,
Unsatisfactory,validation-486,QA Report,4 Lows,
Unsatisfactory,validation-496,QA Report,1 FP,
Unsatisfactory,validation-504,QA Report,FP: 1; 3 Lows,
Unsatisfactory,validation-506,QA Report,3 NC/Lows,
Unsatisfactory,validation-53,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-536,QA Report,1 FP,
Unsatisfactory,validation-545,QA Report,1 FP,
Unsatisfactory,validation-553,QA Report,1 FP,
Unsatisfactory,validation-560,QA Report,"Analyzer: 4, 6; NC/OOS: 7; 4 Lows (Poor format)",
Unsatisfactory,validation-580,QA Report,2 Lows,
Unsatisfactory,validation-595,QA Report,FP: 1; 1 Low,
Unsatisfactory,validation-612,Gas Optimizations,No Gas Pool,
Unsatisfactory,validation-626,QA Report,3 Lows,
Unsatisfactory,validation-645,QA Report,Analyzer: 1; 0 Low,
Unsatisfactory,validation-65,QA Report,"FP: 2, 5; 3 Lows",
Unsatisfactory,validation-655,QA Report,"NC: 7-15; Analyzer: 3, 4; 4 Lows",Too much noise
Unsatisfactory,validation-658,QA Report,NC: 1; 2 Lows ,
Unsatisfactory,validation-667,QA Report,"FP: 1, 3, 4, 5; 2 Lows",GPT
Unsatisfactory,validation-678,QA Report,1 NC,
Unsatisfactory,validation-682,QA Report,2 Lows,
Unsatisfactory,validation-76,QA Report,1 Low,
Unsatisfactory,validation-90,QA Report,"FP: 2, 4; Analyzer: 3; 3 Lows",
Unsatisfactory,validation-95,QA Report,1 Low,
